RMSprop optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=70, Epoch=8, minibatch=5, loss=0.00873, Wa=1.1297, Wb=1.2981, unitvecWa=-0.34467, unitvecWb=0.93872, eff_stepsize=0.00352, dWa=-0.16431, dWb=0.02937, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.35582, sqrt_SdWb=0.08899
updates=71, Epoch=8, minibatch=6, loss=0.00574, Wa=1.1309, Wb=1.2948, unitvecWa=-0.25937, unitvecWb=0.96578, eff_stepsize=0.00374, dWa=-0.13081, dWb=0.03199, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.34909, sqrt_SdWb=0.08861
updates=72, Epoch=8, minibatch=7, loss=0.01329, Wa=1.1319, Wb=1.2912, unitvecWa=-0.97859, unitvecWb=0.20584, eff_stepsize=0.00452, dWa=-0.59389, dWb=0.00820, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.34364, sqrt_SdWb=0.08817
updates=73, Epoch=9, minibatch=0, loss=0.01286, Wa=1.1363, Wb=1.2902, unitvecWa=-0.99592, unitvecWb=-0.09024, eff_stepsize=0.00293, dWa=-0.39016, dWb=-0.00232, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.33747, sqrt_SdWb=0.08772
updates=74, Epoch=9, minibatch=1, loss=0.00781, Wa=1.1392, Wb=1.2905, unitvecWa=-0.28447, unitvecWb=0.95868, eff_stepsize=0.00386, dWa=-0.14597, dWb=0.03228, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.33085, sqrt_SdWb=0.08734
updates=75, Epoch=9, minibatch=2, loss=0.01310, Wa=1.1403, Wb=1.2868, unitvecWa=-0.97916, unitvecWb=-0.20308, eff_stepsize=0.00449, dWa=-0.58308, dWb=-0.00793, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.32546, sqrt_SdWb=0.08691
updates=76, Epoch=9, minibatch=3, loss=0.01109, Wa=1.1447, Wb=1.2877, unitvecWa=-0.96877, unitvecWb=-0.24797, eff_stepsize=0.00244, dWa=-0.31210, dWb=-0.00524, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.31919, sqrt_SdWb=0.08648
updates=77, Epoch=9, minibatch=4, loss=0.00926, Wa=1.1471, Wb=1.2883, unitvecWa=-0.96180, unitvecWb=0.27374, eff_stepsize=0.00185, dWa=-0.23361, dWb=0.00436, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.31278, sqrt_SdWb=0.08604
updates=78, Epoch=9, minibatch=5, loss=0.00810, Wa=1.1489, Wb=1.2878, unitvecWa=-0.91980, unitvecWb=0.39239, eff_stepsize=0.00227, dWa=-0.27297, dWb=0.00763, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.30649, sqrt_SdWb=0.08562
updates=79, Epoch=9, minibatch=6, loss=0.01094, Wa=1.1510, Wb=1.2869, unitvecWa=-0.61588, unitvecWb=0.78784, eff_stepsize=0.00383, dWa=-0.30661, dWb=0.02571, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.30030, sqrt_SdWb=0.08523
updates=80, Epoch=9, minibatch=7, loss=0.00744, Wa=1.1533, Wb=1.2839, unitvecWa=-0.95795, unitvecWb=0.28693, eff_stepsize=0.01123, dWa=-1.40056, dWb=0.02735, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.30134, sqrt_SdWb=0.08484
updates=81, Epoch=10, minibatch=0, loss=0.00713, Wa=1.1641, Wb=1.2807, unitvecWa=-0.93841, unitvecWb=0.34552, eff_stepsize=0.00158, dWa=-0.19245, dWb=0.00462, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.29496, sqrt_SdWb=0.08442
updates=82, Epoch=10, minibatch=1, loss=0.00740, Wa=1.1656, Wb=1.2801, unitvecWa=-0.99903, unitvecWb=-0.04411, eff_stepsize=0.00178, dWa=-0.22962, dWb=-0.00066, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.28868, sqrt_SdWb=0.08400
updates=83, Epoch=10, minibatch=2, loss=0.00503, Wa=1.1673, Wb=1.2802, unitvecWa=-0.77227, unitvecWb=0.63530, eff_stepsize=0.00142, dWa=-0.14089, dWb=0.00755, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.28229, sqrt_SdWb=0.08358
