SGD_w_Momentum optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=31, Epoch=3, minibatch=6, loss=0.05806, Wa=2.1548, Wb=0.9229, unitvecWa=-0.71510, unitvecWb=0.69902, eff_stepsize=0.01131, dWa=0.01370, dWb=-0.17272, VdWa=-0.80876, VdWb=0.79058, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=32, Epoch=3, minibatch=7, loss=0.06692, Wa=2.1629, Wb=0.9150, unitvecWa=-0.82874, unitvecWb=0.55963, eff_stepsize=0.00863, dWa=0.01244, dWb=-0.22840, VdWa=-0.71544, VdWb=0.48312, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.05915, Wa=2.1700, Wb=0.9102, unitvecWa=-0.96757, unitvecWb=0.25261, eff_stepsize=0.00660, dWa=0.00509, dWb=-0.26803, VdWa=-0.63881, VdWb=0.16678, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.06634, Wa=2.1764, Wb=0.9085, unitvecWa=-0.98798, unitvecWb=-0.15455, eff_stepsize=0.00570, dWa=0.01152, dWb=-0.23824, VdWa=-0.56341, VdWb=-0.08813, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.05382, Wa=2.1820, Wb=0.9094, unitvecWa=-0.84589, unitvecWb=-0.53336, eff_stepsize=0.00592, dWa=0.00641, dWb=-0.23635, VdWa=-0.50065, VdWb=-0.31568, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.07125, Wa=2.1870, Wb=0.9126, unitvecWa=-0.67562, unitvecWb=-0.73725, eff_stepsize=0.00643, dWa=0.01614, dWb=-0.18997, VdWa=-0.43445, VdWb=-0.47408, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.07142, Wa=2.1914, Wb=0.9173, unitvecWa=-0.50967, unitvecWb=-0.86037, eff_stepsize=0.00736, dWa=0.01599, dWb=-0.20639, VdWa=-0.37501, VdWb=-0.63306, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.06752, Wa=2.1951, Wb=0.9237, unitvecWa=-0.39035, unitvecWb=-0.92067, eff_stepsize=0.00829, dWa=0.01385, dWb=-0.19363, VdWa=-0.32367, VdWb=-0.76339, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.06445, Wa=2.1984, Wb=0.9313, unitvecWa=-0.30912, unitvecWb=-0.95102, eff_stepsize=0.00895, dWa=0.01469, dWb=-0.16395, VdWa=-0.27661, VdWb=-0.85100, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=40, Epoch=4, minibatch=7, loss=0.05959, Wa=2.2011, Wb=0.9398, unitvecWa=-0.23625, unitvecWb=-0.97169, eff_stepsize=0.01005, dWa=0.01149, dWb=-0.21075, VdWa=-0.23746, VdWb=-0.97665, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=41, Epoch=5, minibatch=0, loss=0.07471, Wa=2.2035, Wb=0.9496, unitvecWa=-0.19048, unitvecWb=-0.98169, eff_stepsize=0.00989, dWa=0.02524, dWb=-0.09234, VdWa=-0.18847, VdWb=-0.97133, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.05043, Wa=2.2054, Wb=0.9593, unitvecWa=-0.15453, unitvecWb=-0.98799, eff_stepsize=0.01004, dWa=0.01449, dWb=-0.11767, VdWa=-0.15514, VdWb=-0.99186, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
