Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=lambda_fn_0_8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=lmbda0_5 = lambda epoch: 0.5 if (epoch >= 5 and epoch <= 20 and epoch % 5 == 0) else 1.0
updates=41, Epoch=5, minibatch=0, loss=0.00253, Wa=1.2297, Wb=1.2692, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.13718, dWb=0.01951, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.00151, Wa=1.2315, Wb=1.2667, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.01420, dWb=0.03041, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=43, Epoch=5, minibatch=2, loss=0.00109, Wa=1.2332, Wb=1.2641, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00471, dWb=0.03112, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=44, Epoch=5, minibatch=3, loss=0.00210, Wa=1.2347, Wb=1.2616, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.08256, dWb=0.02613, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.00150, Wa=1.2361, Wb=1.2590, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.03152, dWb=0.01860, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.00198, Wa=1.2374, Wb=1.2565, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.08346, dWb=0.01677, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.00211, Wa=1.2387, Wb=1.2541, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.15570, dWb=0.02209, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.00150, Wa=1.2400, Wb=1.2517, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.05882, dWb=0.00872, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=49, Epoch=6, minibatch=0, loss=0.00126, Wa=1.2413, Wb=1.2495, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.03384, dWb=0.01350, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.00138, Wa=1.2424, Wb=1.2473, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.05211, dWb=0.00681, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.00169, Wa=1.2435, Wb=1.2453, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.19026, dWb=0.00268, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.00114, Wa=1.2447, Wb=1.2435, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.01301, dWb=0.00179, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=53, Epoch=6, minibatch=4, loss=0.00149, Wa=1.2458, Wb=1.2418, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.09690, dWb=0.00035, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=54, Epoch=6, minibatch=5, loss=0.00092, Wa=1.2468, Wb=1.2402, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.02795, dWb=0.00334, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=55, Epoch=6, minibatch=6, loss=0.00149, Wa=1.2478, Wb=1.2388, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.16815, dWb=-0.00265, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=56, Epoch=6, minibatch=7, loss=0.00109, Wa=1.2489, Wb=1.2375, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.02387, dWb=0.00617, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
