SGD optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=40, Epoch=4, minibatch=7, loss=0.08490, Wa=0.8600, Wb=1.6366, unitvecWa=-0.31006, unitvecWb=0.95072, eff_stepsize=0.00421, dWa=-0.13059, dWb=0.40043, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=41, Epoch=5, minibatch=0, loss=0.09149, Wa=0.8613, Wb=1.6326, unitvecWa=-0.89121, unitvecWb=0.45360, eff_stepsize=0.00680, dWa=-0.60626, dWb=0.30857, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.09139, Wa=0.8674, Wb=1.6295, unitvecWa=-0.94908, unitvecWb=0.31502, eff_stepsize=0.00948, dWa=-0.90018, dWb=0.29879, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=43, Epoch=5, minibatch=2, loss=0.08872, Wa=0.8764, Wb=1.6265, unitvecWa=-0.53560, unitvecWb=0.84447, eff_stepsize=0.00483, dWa=-0.25868, dWb=0.40786, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=44, Epoch=5, minibatch=3, loss=0.10537, Wa=0.8790, Wb=1.6224, unitvecWa=-0.91135, unitvecWb=0.41164, eff_stepsize=0.00965, dWa=-0.87970, dWb=0.39735, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.07870, Wa=0.8878, Wb=1.6185, unitvecWa=-0.98507, unitvecWb=0.17214, eff_stepsize=0.01478, dWa=-1.45549, dWb=0.25435, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.08149, Wa=0.9023, Wb=1.6159, unitvecWa=-0.88296, unitvecWb=0.46944, eff_stepsize=0.00649, dWa=-0.57314, dWb=0.30472, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.09341, Wa=0.9081, Wb=1.6129, unitvecWa=-0.62702, unitvecWb=0.77900, eff_stepsize=0.00547, dWa=-0.34275, dWb=0.42583, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.11151, Wa=0.9115, Wb=1.6086, unitvecWa=-0.93860, unitvecWb=0.34500, eff_stepsize=0.01128, dWa=-1.05896, dWb=0.38924, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=49, Epoch=6, minibatch=0, loss=0.08518, Wa=0.9221, Wb=1.6047, unitvecWa=-0.51707, unitvecWb=0.85594, eff_stepsize=0.00498, dWa=-0.25771, dWb=0.42661, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.08693, Wa=0.9247, Wb=1.6005, unitvecWa=-0.90028, unitvecWb=0.43532, eff_stepsize=0.00807, dWa=-0.72628, dWb=0.35118, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.07556, Wa=0.9319, Wb=1.5970, unitvecWa=-0.91119, unitvecWb=0.41199, eff_stepsize=0.00672, dWa=-0.61199, dWb=0.27671, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.10075, Wa=0.9380, Wb=1.5942, unitvecWa=-0.98077, unitvecWb=0.19518, eff_stepsize=0.01555, dWa=-1.52515, dWb=0.30352, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
