Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=1.0
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[]
updates=32, Epoch=3, minibatch=7, loss=0.03504, Wa=1.7278, Wb=1.0730, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05066, dWb=-0.03385, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.02610, Wa=1.7347, Wb=1.0910, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.03819, dWb=-0.02267, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.03376, Wa=1.7407, Wb=1.1088, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05860, dWb=0.03002, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.02555, Wa=1.7458, Wb=1.1230, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05058, dWb=0.05353, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.04534, Wa=1.7501, Wb=1.1324, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07832, dWb=0.09956, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.04291, Wa=1.7534, Wb=1.1343, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07457, dWb=0.08641, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.04170, Wa=1.7559, Wb=1.1301, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06822, dWb=0.07869, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.04195, Wa=1.7576, Wb=1.1210, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06672, dWb=0.07629, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=40, Epoch=4, minibatch=7, loss=0.03217, Wa=1.7587, Wb=1.1074, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04926, dWb=0.01262, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=41, Epoch=5, minibatch=0, loss=0.05218, Wa=1.7593, Wb=1.0942, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07934, dWb=0.05808, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.03204, Wa=1.7593, Wb=1.0781, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04654, dWb=0.00544, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=43, Epoch=5, minibatch=2, loss=0.04026, Wa=1.7589, Wb=1.0631, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04046, dWb=-0.08678, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
