Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=0.8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[4, 8, 10, 12, 14, 16, 18, 20, 22, 24]
updates=49, Epoch=6, minibatch=0, loss=0.00098, Wa=1.2562, Wb=1.2481, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00287, dWb=0.01839, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.00097, Wa=1.2576, Wb=1.2453, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00364, dWb=0.01562, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.00079, Wa=1.2589, Wb=1.2427, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00502, dWb=0.01077, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.00102, Wa=1.2601, Wb=1.2401, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00550, dWb=0.00652, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=53, Epoch=6, minibatch=4, loss=0.00100, Wa=1.2611, Wb=1.2378, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00810, dWb=0.00636, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=54, Epoch=6, minibatch=5, loss=0.00083, Wa=1.2621, Wb=1.2356, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.09190, dWb=0.00678, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=55, Epoch=6, minibatch=6, loss=0.00087, Wa=1.2629, Wb=1.2336, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00527, dWb=-0.00164, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=56, Epoch=6, minibatch=7, loss=0.00095, Wa=1.2636, Wb=1.2317, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01080, dWb=0.00665, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=57, Epoch=7, minibatch=0, loss=0.00095, Wa=1.2643, Wb=1.2300, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01862, dWb=-0.00305, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=58, Epoch=7, minibatch=1, loss=0.00084, Wa=1.2648, Wb=1.2285, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00447, dWb=-0.00438, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=59, Epoch=7, minibatch=2, loss=0.00098, Wa=1.2654, Wb=1.2271, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00812, dWb=-0.00226, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=60, Epoch=7, minibatch=3, loss=0.00090, Wa=1.2658, Wb=1.2259, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.04308, dWb=-0.00635, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=61, Epoch=7, minibatch=4, loss=0.00094, Wa=1.2662, Wb=1.2248, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01394, dWb=0.00611, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=62, Epoch=7, minibatch=5, loss=0.00117, Wa=1.2665, Wb=1.2238, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02249, dWb=-0.01116, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=63, Epoch=7, minibatch=6, loss=0.00101, Wa=1.2668, Wb=1.2230, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.04631, dWb=-0.00272, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=64, Epoch=7, minibatch=7, loss=0.00098, Wa=1.2671, Wb=1.2223, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01154, dWb=-0.02252, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=65, Epoch=8, minibatch=0, loss=0.00117, Wa=1.2672, Wb=1.2219, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.04242, dWb=-0.01273, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=66, Epoch=8, minibatch=1, loss=0.00076, Wa=1.2674, Wb=1.2217, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02159, dWb=0.00283, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=67, Epoch=8, minibatch=2, loss=0.00093, Wa=1.2675, Wb=1.2214, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00764, dWb=-0.01216, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=68, Epoch=8, minibatch=3, loss=0.00117, Wa=1.2676, Wb=1.2213, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.04083, dWb=-0.00649, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=69, Epoch=8, minibatch=4, loss=0.00101, Wa=1.2676, Wb=1.2213, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01474, dWb=-0.02078, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=70, Epoch=8, minibatch=5, loss=0.00118, Wa=1.2677, Wb=1.2215, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.05640, dWb=-0.00707, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=71, Epoch=8, minibatch=6, loss=0.00100, Wa=1.2676, Wb=1.2217, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00378, dWb=-0.01971, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=72, Epoch=8, minibatch=7, loss=0.00099, Wa=1.2676, Wb=1.2222, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00865, dWb=-0.00595, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=73, Epoch=9, minibatch=0, loss=0.00119, Wa=1.2676, Wb=1.2226, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02402, dWb=-0.01178, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=74, Epoch=9, minibatch=1, loss=0.00099, Wa=1.2675, Wb=1.2232, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.01067, dWb=-0.01014, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=75, Epoch=9, minibatch=2, loss=0.00087, Wa=1.2675, Wb=1.2238, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00828, dWb=-0.01118, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=76, Epoch=9, minibatch=3, loss=0.00124, Wa=1.2675, Wb=1.2244, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.06482, dWb=-0.00127, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=77, Epoch=9, minibatch=4, loss=0.00100, Wa=1.2674, Wb=1.2250, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00087, dWb=-0.02105, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=78, Epoch=9, minibatch=5, loss=0.00093, Wa=1.2673, Wb=1.2258, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.04104, dWb=-0.01082, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=79, Epoch=9, minibatch=6, loss=0.00080, Wa=1.2671, Wb=1.2266, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02503, dWb=0.00417, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=80, Epoch=9, minibatch=7, loss=0.00101, Wa=1.2670, Wb=1.2273, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.03203, dWb=0.01328, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=81, Epoch=10, minibatch=0, loss=0.00096, Wa=1.2668, Wb=1.2278, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01493, dWb=-0.00525, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=82, Epoch=10, minibatch=1, loss=0.00104, Wa=1.2667, Wb=1.2283, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.07005, dWb=-0.00108, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=83, Epoch=10, minibatch=2, loss=0.00084, Wa=1.2665, Wb=1.2288, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00131, dWb=-0.01533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=84, Epoch=10, minibatch=3, loss=0.00097, Wa=1.2663, Wb=1.2294, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.03943, dWb=0.00440, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=85, Epoch=10, minibatch=4, loss=0.00093, Wa=1.2661, Wb=1.2299, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00913, dWb=0.00135, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=86, Epoch=10, minibatch=5, loss=0.00100, Wa=1.2658, Wb=1.2303, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00997, dWb=-0.00181, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=87, Epoch=10, minibatch=6, loss=0.00107, Wa=1.2657, Wb=1.2307, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.01417, dWb=0.00522, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=88, Epoch=10, minibatch=7, loss=0.00086, Wa=1.2655, Wb=1.2311, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02802, dWb=0.00778, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=89, Epoch=11, minibatch=0, loss=0.00115, Wa=1.2652, Wb=1.2312, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.06321, dWb=0.00088, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=90, Epoch=11, minibatch=1, loss=0.00092, Wa=1.2650, Wb=1.2314, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.02033, dWb=0.00896, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=91, Epoch=11, minibatch=2, loss=0.00102, Wa=1.2647, Wb=1.2314, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00687, dWb=-0.00489, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=92, Epoch=11, minibatch=3, loss=0.00078, Wa=1.2645, Wb=1.2315, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=0.00878, dWb=0.01202, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
