Adam using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=40, Epoch=4, minibatch=7, loss=0.07639, Wa=0.2341, Wb=1.4966, unitvecWa=-0.43055, unitvecWb=0.90257, eff_stepsize=0.00465, dWa=-2.21595, dWb=0.04051, VdWa=-5.64099, VdWb=0.13728, sqrt_SdWa=5.66771, sqrt_SdWb=0.06580
updates=41, Epoch=5, minibatch=0, loss=0.13369, Wa=0.2361, Wb=1.4924, unitvecWa=-0.47926, unitvecWb=0.87768, eff_stepsize=0.00417, dWa=-4.99610, dWb=-0.05007, VdWa=-5.57650, VdWb=0.11855, sqrt_SdWa=5.66708, sqrt_SdWb=0.06578
updates=42, Epoch=5, minibatch=1, loss=0.03182, Wa=0.2381, Wb=1.4888, unitvecWa=-0.38990, unitvecWb=0.92086, eff_stepsize=0.00465, dWa=0.21094, dWb=0.31933, VdWa=-4.99776, VdWb=0.13863, sqrt_SdWa=5.66425, sqrt_SdWb=0.06652
updates=43, Epoch=5, minibatch=2, loss=0.09689, Wa=0.2399, Wb=1.4845, unitvecWa=-0.40214, unitvecWb=0.91558, eff_stepsize=0.00439, dWa=-3.22661, dWb=0.04141, VdWa=-4.82064, VdWb=0.12890, sqrt_SdWa=5.66233, sqrt_SdWb=0.06650
updates=44, Epoch=5, minibatch=3, loss=0.16793, Wa=0.2417, Wb=1.4805, unitvecWa=-0.44849, unitvecWb=0.89379, eff_stepsize=0.00434, dWa=-9.24994, dWb=0.07090, VdWa=-5.26357, VdWb=0.12310, sqrt_SdWa=5.66705, sqrt_SdWb=0.06651
updates=45, Epoch=5, minibatch=4, loss=0.18914, Wa=0.2437, Wb=1.4766, unitvecWa=-0.54611, unitvecWb=0.83772, eff_stepsize=0.00392, dWa=-10.02760, dWb=-0.07556, VdWa=-5.73998, VdWb=0.10324, sqrt_SdWa=5.67309, sqrt_SdWb=0.06652
updates=46, Epoch=5, minibatch=5, loss=0.10355, Wa=0.2458, Wb=1.4733, unitvecWa=-0.56316, unitvecWb=0.82635, eff_stepsize=0.00403, dWa=-8.66089, dWb=0.10882, VdWa=-6.03207, VdWb=0.10380, sqrt_SdWa=5.67686, sqrt_SdWb=0.06657
updates=47, Epoch=5, minibatch=6, loss=0.09236, Wa=0.2481, Wb=1.4700, unitvecWa=-0.58408, unitvecWb=0.81170, eff_stepsize=0.00373, dWa=-2.97032, dWb=-0.00114, VdWa=-5.72589, VdWb=0.09330, sqrt_SdWa=5.67480, sqrt_SdWb=0.06654
updates=48, Epoch=5, minibatch=7, loss=0.07622, Wa=0.2502, Wb=1.4670, unitvecWa=-0.61014, unitvecWb=0.79229, eff_stepsize=0.00339, dWa=-2.28816, dWb=-0.02029, VdWa=-5.38212, VdWb=0.08194, sqrt_SdWa=5.67242, sqrt_SdWb=0.06651
updates=49, Epoch=6, minibatch=0, loss=0.05474, Wa=0.2523, Wb=1.4643, unitvecWa=-0.56255, unitvecWb=0.82676, eff_stepsize=0.00347, dWa=-1.93802, dWb=0.13225, VdWa=-5.03771, VdWb=0.08697, sqrt_SdWa=5.66992, sqrt_SdWb=0.06661
updates=50, Epoch=6, minibatch=1, loss=0.10212, Wa=0.2543, Wb=1.4614, unitvecWa=-0.57770, unitvecWb=0.81625, eff_stepsize=0.00328, dWa=-3.08893, dWb=0.02098, VdWa=-4.84283, VdWb=0.08037, sqrt_SdWa=5.66792, sqrt_SdWb=0.06658
updates=51, Epoch=6, minibatch=2, loss=0.07105, Wa=0.2562, Wb=1.4587, unitvecWa=-0.63043, unitvecWb=0.77624, eff_stepsize=0.00286, dWa=-2.04870, dWb=-0.06311, VdWa=-4.56342, VdWb=0.06603, sqrt_SdWa=5.66546, sqrt_SdWb=0.06657
updates=52, Epoch=6, minibatch=3, loss=0.14740, Wa=0.2580, Wb=1.4565, unitvecWa=-0.72436, unitvecWb=0.68942, eff_stepsize=0.00256, dWa=-5.35161, dWb=-0.07495, VdWa=-4.64224, VdWb=0.05193, sqrt_SdWa=5.66515, sqrt_SdWb=0.06658
updates=53, Epoch=6, minibatch=4, loss=0.16903, Wa=0.2598, Wb=1.4547, unitvecWa=-0.76274, unitvecWb=0.64670, eff_stepsize=0.00320, dWa=-19.14379, dWb=0.13759, VdWa=-6.09239, VdWb=0.06049, sqrt_SdWa=5.69459, sqrt_SdWb=0.06669
updates=54, Epoch=6, minibatch=5, loss=0.21255, Wa=0.2623, Wb=1.4527, unitvecWa=-0.91862, unitvecWb=0.39515, eff_stepsize=0.00280, dWa=-8.87777, dWb=-0.22212, VdWa=-6.37093, VdWb=0.03223, sqrt_SdWa=5.69866, sqrt_SdWb=0.06703
updates=55, Epoch=6, minibatch=6, loss=0.12690, Wa=0.2648, Wb=1.4516, unitvecWa=-0.88594, unitvecWb=0.46379, eff_stepsize=0.00287, dWa=-4.98901, dWb=0.09390, VdWa=-6.23274, VdWb=0.03840, sqrt_SdWa=5.69800, sqrt_SdWb=0.06706
